name,phone,address,website,rating,user_ratings_total
Emlak Store,0533 507 00 24,"Kayışdağı Mah. İnkılap Cad. No:17, Dudullu OSB, D:2, 34755 Ataşehir/İstanbul, Türkiye",,4.4,61
Onur Barni Gayrimenkul Ataşehir Dumankaya İkon,0507 200 12 00,"Örnek, Ercüment Batanay Sk. No 14 C a3 blok, 34704 Ataşehir/İstanbul, Türkiye",http://www.onurbarni.com/,5,109
başkan emlak ataşehir,(0216) 576 32 22,"İnönü, Kayışdağı Cd. no124, 34755 Ataşehir/İstanbul, Türkiye",,5,3
ÜMİT ŞENGÜR GAYRİMENKUL,0532 421 96 60,"İçerenköy, Rize Sk. No: 3/B, 34750 Ataşehir/İstanbul, Türkiye",http://www.umitsengurgayrimenkul.com/,5,22
Çevik Emlak içerenköy,0532 394 62 70,"İçerenköy, Oyacı Sk. No: 29, 34752 Ataşehir/İstanbul, Türkiye",http://www.cevikemlak.com.tr/,5,3
Remax Ataşehir Emlakçı BULUT BALCI,0501 155 19 89,"Atatürk, Turgut Özal Blv. Gardenya 42 Ç, No:8, 34758 Ataşehir/İstanbul, Türkiye",,5,2
KOÇKAN Gayrimenkul & Yatırım,0534 555 52 62,"Barbaros, Begonya Sk. No:7, 34746 Ataşehir/İstanbul, Türkiye",http://kockangayrimenkul.com/,5,10
ATAŞEHİR BURAK EMLAK,(0216) 574 60 52,"Küçükbakkalköy, Cengiz Topel Cd. no:12, 34750 Ataşehir/İstanbul, Türkiye",,4.8,4
Nova Gayrimenkul,(0216) 330 51 51,"Küçükbakkalköy Mahallesi, Dudullu Caddesi No:23-25 Brandium Residence D:R2 Blok D:1, Küçükbakkalköy, 34750 Ataşehir/İstanbul, Türkiye",http://www.novaturkiye.com/,4,27
Serkan Kaya Gayrimenkul Ataşehir,0532 771 61 69,"Denge Panorama, Küçükbakkalköy, Küçük Setli Sok. Kat: B2, 34750 Ataşehir/İstanbul, Türkiye",https://kwfores.sahibinden.com/?userId=aIf72UYGHhyXaROvL3puAhg%20serkankaya.kw.com,5,3
CELEPOĞLU İNŞAAT GAYRİMENKUL DANIŞMALIĞI,0530 038 90 89,"Atatürk, Sülün Cd. No:18 D:1B, 34758 Ataşehir/İstanbul, Türkiye",https://celepoglugayrimenkul.sahibinden.com/,5,1
yeditepe emlak,0536 226 17 10,"İnönü Mahallesi 19 Mayıs Caddesi, Dudullu OSB, Leylaklar Sk. No:25, 34755 Ataşehir/İstanbul, Türkiye",,4.3,24
Emlak Park Ataşehir,,"İnönü, Büyük Atatürk Cd. No:14, 34750 Ataşehir/İstanbul, Türkiye",,4.4,14
Yuvako - Akıllı Gayrimenkul Ofisi,,"İçerenköy Mahallesi, AND Plaza Topçu İbrahim Sokak 8-10 D, İçerenköy, 34752 Ataşehir/İstanbul, Türkiye",,4.8,17
Ataşehir Vizyon Gayrimenkul,(0216) 290 04 79,"Atatürk Bulvarı No: 2/B Metropol İstanbul C1 Blok K:16 D:260 Ataşehir Metropol, Atatürk, 34758 Ataşehir/İstanbul, Türkiye",https://atasehirvizyongayrimenkul.sahibinden.com/,3.7,6
AtaCity Emlak,(0216) 456 45 76,"Atatürk Mahallesi Ataşehir Bulvarı 38 Ada Ata Blokları Ata - 3 Plaza Kat 1 D-16, Atatürk, 34758 Ataşehir/İstanbul, Türkiye",http://www.atacityemlak.com.tr/,4.3,6
EmlakClub Ataşehir,(0216) 455 12 44,"Ataşehir Bulv. 38 Ada Ata3-4 No46 Ataşehir Bulv. 38, Küçükbakkalköy, Ada Ata3 No:4 No46, 34758 Ataşehir/İstanbul, Türkiye",,4.1,15
SAĞLAM GAYRİMENKUL,0533 684 08 98,"İçerenköy, Küçükbakkalköy Yolu Cd. Eryuva Sitesi, 34752 Ataşehir/İstanbul, Türkiye",,4.2,11
Savaş Emlak Gayrimenkul,0532 566 54 80,"Küçükbakkalköy, Tevfik Fikret Cd. No:16/B, 34750 Ataşehir/İstanbul, Türkiye",https://savasgayrimenkulatasehir.com/,5,3
REMAX Deha Gayrimenkul Danışmanlık,(0216) 455 60 65,"Atatürk, Turgut Özal Blv. Gardenya 42/Ç Çarşısı No: 8/A Kat:1, 34758 Ataşehir/İstanbul, Türkiye",https://www.remax.com.tr/ofis/detay/deha,4.2,31
Yenişehir Gayrimenkul Ataşehir,,"İnönü, Kayışdağı Cd. No:130 /3, 34755 Ataşehir/İstanbul, Türkiye",,5,2
Canan Işık İnşaat Emlak,0532 308 26 74,"Prof. Necmetin Erbakan Caddesi, İçerenköy, Yücel Sk. no:17/b, 34752 Ataşehir/İstanbul, Türkiye",,4.3,29
Altaş Emlak Arsa Ofisi,(0216) 573 52 42,"18/C Kader Apt. & Oyacı Sok İçerenköy Mah Ataşehir İstanbul Turkey 34752, İçerenköy, Karslı Ahmet Cd., 34752 Ataşehir/İstanbul, Türkiye",,4.4,7
"Century21 ATA Gayrimenkul, Ataşehir",0531 959 51 21,"Barbaros, Begonya Sk. alıve plaza D:7/11, 34746 Ataşehir/İstanbul, Türkiye",http://www.ataglobalgayrimenkul.com/,4.2,15
COLDWELL BANKER ARI GAYRİMENKUL ATAŞEHİR,0533 207 87 11,"Atatürk, Ataşehir Blv. No 8 D:33, 34758 Ataşehir/İstanbul, Türkiye",https://www.cb.com.tr/tr-TR/Offices/Detail/ari,4.5,8
Asia Emlak İçerenköy,0541 574 94 54,"İçerenköy, Seyhan Sk. 5/a, 34752 Ataşehir/İstanbul, Türkiye",https://asiaemlak.sahibinden.com/,3.7,22
Elite Life Gayrimenkul,0532 322 55 64,"İÇERENKÖY MAHALLESİ KARSLI AHMET CADDESİ, İçerenköy, Adem Sk. NO:45 /A, 34752 Ataşehir/İstanbul, Türkiye",,5,1
Merc Gayrimenkul Danışmanlık,(0216) 969 19 95,"Küçükbakkalköy, Başöğretmen Cd 34/A, 34750 Ataşehir/İstanbul, Türkiye",,5,4
Erdem KILIÇ - Lisanslı Gayrimenkul Danışmanı,0532 154 10 12,"Küçükbakkalköy, Ozan Veysel Sokağı N:11 Kat:1-2-3, 34758 Ataşehir/İstanbul, Türkiye",https://www.erdemkilic.com/,5,2
ATAŞEHİR TREND GAYRİMENKUL,0544 855 70 16,"Atatürk Mah. Fazıl paşa Sok. Trendist Ataşehir No: 9/11 D:108 Doğu Ataşehir, Atatürk, 34758 Ataşehir/İstanbul, Türkiye",,5,3
Çözüm'sell Emlak | Brandium Ataşehir,(0216) 504 08 90,"Brandium R2 Residence D:3 Dudullu Cad., Küçükbakkalköy, 34750 Ataşehir/İstanbul, Türkiye",,3.7,3
